Event, Time (sec), Component, Event Property, Value
277, 740.06970400, , id=0x0001, 0x00000000 0x00043620
278, 740.56973800, , id=0x0001, 0x00000000 0x00043A08
279, 741.06970400, , id=0x0001, 0x00000000 0x00043DF0
280, 741.56973800, , id=0x0001, 0x00000000 0x000441D8
281, 742.06969200, , id=0x0001, 0x00000000 0x000445C0
282, 742.57159400, , id=0x0001, 0x00000000 0x000449AB
283, 743.06970400, , id=0x0001, 0x00000000 0x00044D90
284, 743.56972600, , id=0x0001, 0x00000000 0x00045178
285, 744.06970400, , id=0x0001, 0x00000000 0x00045560
286, 744.56972600, , id=0x0001, 0x00000000 0x00045948
287, 745.06970400, , id=0x0001, 0x00000000 0x00045D30
288, 745.56973800, , id=0x0001, 0x00000000 0x00046118
289, 746.06970400, , id=0x0001, 0x00000000 0x00046500
290, 746.56973800, , id=0x0001, 0x00000000 0x000468E8
291, 747.06969200, , id=0x0001, 0x00000000 0x00046CD0
292, 747.56973800, , id=0x0001, 0x00000000 0x000470B8
293, 748.06970400, , id=0x0001, 0x00000000 0x000474A0
294, 748.56972600, , id=0x0001, 0x00000000 0x00047888
295, 749.06969200, , id=0x0001, 0x00000000 0x00047C70
296, 749.56973800, , id=0x0001, 0x00000000 0x00048058
297, 750.06970400, , id=0x0001, 0x00000000 0x00048440
298, 750.56973800, , id=0x0001, 0x00000000 0x00048828
299, 751.06970400, , id=0x0001, 0x00000000 0x00048C10
300, 751.56972600, , id=0x0001, 0x00000000 0x00048FF8
301, 752.06970400, , id=0x0001, 0x00000000 0x000493E0
302, 752.56973800, , id=0x0001, 0x00000000 0x000497C8
303, 753.06969200, , id=0x0001, 0x00000000 0x00049BB0
304, 753.56973800, , id=0x0001, 0x00000000 0x00049F98
305, 754.06970400, , id=0x0001, 0x00000000 0x0004A380
306, 754.56972600, , id=0x0001, 0x00000000 0x0004A768
307, 755.06970400, , id=0x0001, 0x00000000 0x0004AB50
308, 755.56973800, , id=0x0001, 0x00000000 0x0004AF38
309, 756.06970400, , id=0x0001, 0x00000000 0x0004B320
310, 756.56972600, , id=0x0001, 0x00000000 0x0004B708
311, 757.06970400, , id=0x0001, 0x00000000 0x0004BAF0
312, 757.56973800, , id=0x0001, 0x00000000 0x0004BED8
313, 758.06970400, , id=0x0001, 0x00000000 0x0004C2C0
314, 758.56973800, , id=0x0001, 0x00000000 0x0004C6A8
315, 759.07172400, , id=0x0001, 0x00000000 0x0004CA94
316, 759.56973800, , id=0x0001, 0x00000000 0x0004CE78
317, 760.06970400, , id=0x0001, 0x00000000 0x0004D260
318, 760.56973800, , id=0x0001, 0x00000000 0x0004D648
319, 761.06970400, , id=0x0001, 0x00000000 0x0004DA30
320, 761.56973800, , id=0x0001, 0x00000000 0x0004DE18
321, 762.06970400, , id=0x0001, 0x00000000 0x0004E200
322, 762.56973800, , id=0x0001, 0x00000000 0x0004E5E8
323, 763.06970400, , id=0x0001, 0x00000000 0x0004E9D0
324, 763.56972600, , id=0x0001, 0x00000000 0x0004EDB8
325, 764.06970400, , id=0x0001, 0x00000000 0x0004F1A0
326, 764.56973800, , id=0x0001, 0x00000000 0x0004F588
327, 765.06969200, , id=0x0001, 0x00000000 0x0004F970
328, 765.56972600, , id=0x0001, 0x00000000 0x0004FD58
329, 766.06970400, , id=0x0001, 0x00000000 0x00050140
330, 766.56973800, , id=0x0001, 0x00000000 0x00050528
331, 767.06970400, , id=0x0001, 0x00000000 0x00050910
332, 767.56972600, , id=0x0001, 0x00000000 0x00050CF8
